"code_commune","nom_commune","departement","population","nb_cambriolages","taux_pour_mille"
"12231","Saint-Jean-du-Bruel","12",639,0,0
"12232","Saint-Jean-et-Saint-Paul","12",282,0,0
"12233","Saint-Juéry","12",256,0,0
"12234","Sainte-Juliette-sur-Viaur","12",645,0,0
"12236","Saint-Laurent-de-Lévézou","12",161,0,0
"12237","Saint-Laurent-d'Olt","12",623,0,0
"12250","Saint-Symphorien-de-Thénières","12",218,0,0
"12251","Saint-Victor-et-Melvieu","12",286,0,0
"12269","La Serre","12",124,0,0
"12270","Sévérac-le-Château",NA,4026,7,2.3663976
"12273","Soulages-Bonneval","12",293,0,0
"12274","Sylvanès","12",116,0,0
"12277","Taussac","12",504,0,0
"12278","Tayrac","12",188,0,0
"12280","Thérondels","12",357,0,0
"12282","Tournemire","12",413,0,0
"12283","Trémouilles","12",473,0,0
"12292","Versols-et-Lapeyre","12",421,0,0
"12295","Viala-du-Pas-de-Jaux","12",84,0,0
"12296","Viala-du-Tarn","12",529,0,0
"12297","Le Vibal","12",519,0,0
"12300","Villefranche-de-Rouergue","12",11271,26,3.3941988
"12307","Curan","12",307,0,0
"13001","Aix-en-Provence","13",149695,1016,11.3850005
"13002","Allauch","13",21443,73,7.3378008
"13003","Alleins","13",2852,6,4.6153846
"13004","Arles","13",51811,295,10.1625748
"13005","Aubagne","13",47529,219,9.5802772
"13006","Aureille","13",1533,5,5.9859487
"13007","Auriol","13",13037,35,5.7641712
"13010","Barbentane","13",4266,11,4.813491
"13014","Berre-l'Étang","13",13832,25,4.1604043
"13015","Bouc-Bel-Air","13",15381,48,7.2067596
"13016","La Bouilladisse","13",6547,15,5.2543535
"13018","Cabannes","13",4595,15,6.7554333
"13019","Cabriès","13",10240,57,13.168448
"13020","Cadolive","13",2236,10,9.7697303
"13021","Carry-le-Rouet","13",5702,11,2.5363104
"13022","Cassis","13",6661,38,6.1582746
"13023","Ceyreste","13",4863,18,7.4371769
"13025","Châteauneuf-le-Rouge","13",2376,14,13.0820919
"13026","Châteauneuf-les-Martigues","13",18455,49,6.3102993
"13027","Châteaurenard","13",16545,90,10.5227205
"13028","La Ciotat","13",38477,174,7.122114
"13029","Cornillon-Confoux","13",1667,11,14.191609
"13030","Cuges-les-Pins","13",6236,24,8.8501167
"13031","La Destrousse","13",4133,19,10.9069199
"13032","Éguilles","13",8479,46,11.6366789
"13033","Ensuès-la-Redonne","13",5757,14,4.6744574
"13034","Eygalières","13",1773,27,19.5241009
"13035","Eyguières","13",7119,32,8.8866247
